"specification","order","power","coefficient","std_error","observations"
"individual_fe",2,0,-4.35116381217699,6.13884826880404,74829
"individual_fe",2,1,0.292073093161168,0.373960494432574,74829
"individual_fe",2,2,-0.00458234994641859,0.00572907247636929,74829
"no_individual_fe",2,0,-1.93539116861426,4.41498843650798,75104
"no_individual_fe",2,1,0.190514962536331,0.290737318140059,75104
"no_individual_fe",2,2,-0.00355325458302436,0.00458351001753055,75104
"individual_fe",3,0,14.7721503170182,22.4624950128507,74829
"individual_fe",3,1,-1.64726975019703,2.22475874467072,74829
"individual_fe",3,2,0.0576738972673542,0.0705544181155125,74829
"individual_fe",3,3,-0.00064311868651412,0.00072495721420887,74829
"no_individual_fe",3,0,12.4959622823881,20.3044866612227,75104
"no_individual_fe",3,1,-1.26258954978352,2.0136593425357,75104
"no_individual_fe",3,2,0.0430964573771675,0.0639683200298533,75104
"no_individual_fe",3,3,-0.0004835423764768,0.000659409219582851,75104
"individual_fe",4,0,-21.4545835500157,96.5431483758188,74829
"individual_fe",4,1,3.14388835239897,12.6094052201193,74829
"individual_fe",4,2,-0.17437393651376,0.604975232287435,74829
"individual_fe",4,3,0.00422691342830645,0.012625377422906,74829
"individual_fe",4,4,-3.74316841935702e-05,9.68381738003476e-05,74829
"no_individual_fe",4,0,-19.4801515619817,92.4116770653903,75104
"no_individual_fe",4,1,2.9655309370131,12.0806162411677,75104
"no_individual_fe",4,2,-0.161857798757793,0.580587233275608,75104
"no_individual_fe",4,3,0.00382338128255283,0.0121372044231967,75104
"no_individual_fe",4,4,-3.31503945271308e-05,9.32268569294445e-05,75104
