scenario,age_nodes,worker_asset_nodes,interest,wage,transfer,tax_rate,capital,labor,capital_labor,population_growth,pension_revenue,pension_outlays,pension_budget_residual,max_equilibrium_residual,upper_asset_mass,equilibrium_evaluations
collapsed,281,240,0.022386661857034185,2.5212549860209705,0.3341192445222842,0.0,20.008648376422993,0.36070418999490245,55.47107314276593,-0.01975086422502411,0.0,0.0,0.0,1.7723404060661484e-7,7.611473854601872e-13,6
continued,281,240,0.026716445627474997,2.3109745095012766,0.25861565732737263,0.4489045472176146,15.381522787692994,0.36103036475969386,42.604513796212686,-0.01975086422502411,0.10031601292723044,0.10031601341357847,-4.863480312922164e-10,4.251700715286893e-8,2.0004232165018262e-19,10
